event_id,event_time,user_id,dept,role,device_type,source_ip,asset_id,asset_type,data_classification,action,status,bytes_out,records_accessed,latency_ms,risk_score,label
EVT0000034,2026-05-01T08:06:48,U0085,Operations,manager,mobile,10.10.10.147,crm,saas,confidential,download,success,178847,148,121,4,normal
EVT0000035,2026-05-01T08:05:50,U0029,Operations,engineer,mobile,10.10.8.94,cust_db,database,restricted,login,success,89163,138,84,0,normal
EVT0000036,2026-05-01T08:05:24,U0108,HR,analyst,server,10.10.3.104,payroll,database,confidential,download,success,35074,31,135,73,policy_violation
EVT0000037,2026-05-01T08:14:48,U0012,Data Science,manager,laptop,10.10.20.173,git_repo,code,internal,read,success,132975,120,141,7,normal
EVT0000038,2026-05-01T08:04:26,U0021,Sales,admin,workstation,10.10.12.206,bi_dashboard,dashboard,internal,query,success,129100,146,169,8,normal
EVT0000039,2026-05-01T08:09:06,U0117,HR,admin,vpn_gateway,10.10.8.75,public_web,web,public,login,success,134873,85,168,3,normal
EVT0000040,2026-05-01T08:12:00,U0116,HR,admin,workstation,10.10.2.66,data_lake,storage,restricted,read,success,14958,10,168,4,normal
EVT0000041,2026-05-01T08:10:56,U0040,Data Science,admin,mobile,10.10.9.227,ticketing,saas,internal,login,success,98776,79,132,0,normal
EVT0000042,2026-05-01T08:16:06,U0144,Engineering,intern,laptop,10.10.5.165,bi_dashboard,dashboard,internal,query,success,35173,51,178,4,normal
EVT0000043,2026-05-01T08:11:28,U0027,Sales,intern,workstation,10.10.16.20,data_lake,storage,restricted,login,success,83855,250,143,4,normal
EVT0000044,2026-05-01T08:16:52,U0058,HR,analyst,laptop,10.10.5.234,public_web,web,public,upload,success,108739,80,57,4,normal
EVT0000045,2026-05-01T08:03:45,U0047,Operations,director,mobile,10.10.16.72,git_repo,code,internal,query,success,120958,96,97,6,normal
EVT0000046,2026-05-01T08:05:22,U0037,Operations,analyst,workstation,10.10.8.32,cust_db,database,restricted,login,success,91339,123,170,30,normal
EVT0000047,2026-05-01T08:18:01,U0022,HR,admin,server,10.10.4.141,cust_db,database,restricted,login,success,24739,22,69,7,normal
EVT0000048,2026-05-01T08:14:24,U0070,Sales,intern,vpn_gateway,10.10.7.23,data_lake,storage,restricted,download,success,66352,60,140,53,normal
EVT0000049,2026-05-01T08:11:26,U0012,Data Science,manager,mobile,10.10.10.147,data_lake,storage,restricted,read,success,111831,67,131,4,normal
EVT0000050,2026-05-01T08:11:40,U0084,Sales,intern,mobile,10.10.7.110,payroll,database,confidential,login,success,56158,49,131,33,normal
EVT0000051,2026-05-01T08:13:36,U0019,Sales,engineer,workstation,10.10.1.128,public_web,web,public,upload,success,28910,22,141,6,normal
EVT0000052,2026-05-01T08:19:56,U0104,Legal,intern,vpn_gateway,10.10.10.180,public_web,web,public,logout,success,123931,118,125,5,normal
EVT0000053,2026-05-01T08:06:11,U0112,HR,manager,workstation,10.10.19.111,payroll,database,confidential,logout,success,63593,114,131,5,normal
EVT0000054,2026-05-01T08:09:00,U0020,Legal,admin,mobile,10.10.8.80,payroll,database,confidential,read,success,118492,203,94,1,normal
EVT0000055,2026-05-01T08:08:15,U0066,Data Science,engineer,server,10.10.16.167,data_lake,storage,restricted,login,success,84682,80,47,7,normal
EVT0000056,2026-05-01T08:21:28,U0083,Data Science,analyst,vpn_gateway,10.10.12.206,bi_dashboard,dashboard,internal,login,success,10702,49,133,5,normal
EVT0000057,2026-05-01T08:19:57,U0019,Sales,engineer,laptop,10.10.13.88,git_repo,code,internal,read,success,168426,123,153,8,normal
EVT0000058,2026-05-01T08:16:26,U0119,HR,engineer,mobile,10.10.15.234,cust_db,database,restricted,read,success,54526,241,84,7,normal
EVT0000059,2026-05-01T08:07:52,U0088,HR,manager,vpn_gateway,10.10.10.58,payroll,database,confidential,read,failed,156053,133,139,2,normal
EVT0000060,2026-05-01T08:16:00,U0096,Finance,admin,workstation,10.10.9.213,git_repo,code,internal,read,success,44422,189,177,5,normal
EVT0000061,2026-05-01T08:08:08,U0143,Engineering,admin,mobile,10.10.8.238,public_web,web,public,logout,success,156934,200,16,1,normal
EVT0000062,2026-05-01T08:23:46,U0037,Operations,analyst,laptop,10.10.8.46,bi_dashboard,dashboard,internal,read,success,64135,87,72,8,normal
EVT0000063,2026-05-01T08:17:51,U0085,Operations,manager,server,10.10.19.171,crm,saas,confidential,query,success,190334,166,118,5,normal
EVT0000064,2026-05-01T08:05:20,U0093,Engineering,manager,mobile,10.10.17.90,git_repo,code,internal,login,success,33546,80,191,1,normal
EVT0000065,2026-05-01T08:15:10,U0026,Data Science,director,mobile,10.10.5.234,cust_db,database,restricted,query,success,30276,16,74,27,normal
EVT0000066,2026-05-01T08:20:54,U0012,Data Science,manager,server,10.10.8.238,public_web,web,public,read,success,84241,145,174,8,normal
EVT0000067,2026-05-01T08:13:24,U0080,Data Science,manager,server,10.10.8.80,ticketing,saas,internal,delete,failed,0,0,209,74,policy_violation
EVT0000068,2026-05-01T08:19:16,U0129,Legal,intern,server,10.10.19.96,public_web,web,public,schema_discovery,success,88638,46,94,5,normal
EVT0000069,2026-05-01T08:25:18,U0027,Sales,intern,server,10.10.8.167,payroll,database,confidential,logout,success,109174,380,166,3,normal
EVT0000070,2026-05-01T08:22:10,U0090,Sales,engineer,workstation,10.10.2.143,cust_db,database,restricted,read,failed,43335,77,119,45,normal
EVT0000071,2026-05-01T08:17:45,U0026,Data Science,director,mobile,10.10.18.196,bi_dashboard,dashboard,internal,download,success,188444,113,146,7,normal
EVT0000072,2026-05-01T08:22:48,U0002,HR,manager,vpn_gateway,10.10.17.90,payroll,database,confidential,login,success,112098,116,65,26,normal
EVT0000073,2026-05-01T08:17:02,U0061,HR,analyst,laptop,10.10.12.181,git_repo,code,internal,login,success,2174,1,162,7,normal
EVT0000074,2026-05-01T08:29:36,U0138,Operations,engineer,vpn_gateway,10.10.15.234,cust_db,database,restricted,query,success,81409,99,147,28,normal
EVT0000075,2026-05-01T08:28:45,U0107,Operations,manager,vpn_gateway,10.10.9.227,crm,saas,confidential,query,failed,33225,29,113,8,normal
EVT0000076,2026-05-01T08:27:52,U0006,Engineering,analyst,laptop,10.10.1.128,public_web,web,public,upload,success,0,0,13,1,normal
EVT0000077,2026-05-01T08:20:32,U0062,Sales,analyst,workstation,10.10.19.171,payroll,database,confidential,download,success,81122,45,93,27,normal
EVT0000078,2026-05-01T08:24:42,U0123,Operations,director,mobile,10.10.12.206,crm,saas,confidential,download,success,54612,288,2,3,normal
EVT0000079,2026-05-01T08:07:54,U0081,HR,director,workstation,10.10.14.157,git_repo,code,internal,read,success,66532,80,122,0,normal
EVT0000080,2026-05-01T08:33:20,U0085,Operations,manager,server,10.10.1.183,git_repo,code,internal,login,success,33373,42,139,2,normal
EVT0000081,2026-05-01T08:27:00,U0128,Data Science,director,server,10.10.10.23,bi_dashboard,dashboard,internal,schema_discovery,success,77822,58,140,2,normal
EVT0000082,2026-05-01T08:30:04,U0076,Operations,analyst,server,10.10.17.154,bi_dashboard,dashboard,internal,login,success,57287,129,83,7,normal
EVT0000083,2026-05-01T08:22:08,U0115,Data Science,intern,laptop,10.10.8.94,cust_db,database,restricted,query,success,39893,157,84,6,normal
EVT0000084,2026-05-01T08:22:24,U0132,Engineering,manager,mobile,10.10.8.178,crm,saas,confidential,schema_discovery,success,123738,522,58,3,normal
EVT0000085,2026-05-01T08:35:25,U0094,Sales,engineer,workstation,10.10.17.99,bi_dashboard,dashboard,internal,read,success,108263,125,125,7,normal
EVT0000086,2026-05-01T08:10:02,U0147,Data Science,director,laptop,10.10.2.143,crm,saas,confidential,read,failed,64092,39,157,27,normal
EVT0000087,2026-05-01T08:29:00,U0133,Sales,engineer,vpn_gateway,10.10.8.186,public_web,web,public,permission_change,success,77129,112,158,32,normal
EVT0000088,2026-05-01T08:16:08,U0032,Operations,admin,workstation,10.10.11.49,crm,saas,confidential,upload,failed,116917,79,189,5,normal
EVT0000089,2026-05-01T08:10:23,U0141,Sales,director,workstation,10.10.16.116,git_repo,code,internal,delete,success,52788,46,8,28,normal
EVT0000090,2026-05-01T08:12:00,U0052,HR,analyst,vpn_gateway,10.10.2.40,crm,saas,confidential,logout,success,142676,390,130,1,normal
EVT0000091,2026-05-01T08:10:37,U0080,Data Science,manager,vpn_gateway,10.10.8.238,public_web,web,public,schema_discovery,success,29032,115,126,47,normal
EVT0000092,2026-05-01T08:23:00,U0019,Sales,engineer,vpn_gateway,10.10.10.23,ticketing,saas,internal,read,success,22615,47,204,2,normal
EVT0000093,2026-05-01T08:27:54,U0129,Legal,intern,mobile,10.10.10.23,cust_db,database,restricted,upload,success,97166,120,144,33,normal
EVT0000094,2026-05-01T08:21:56,U0021,Sales,admin,laptop,10.10.20.204,git_repo,code,internal,login,success,69283,61,189,2,normal
EVT0000095,2026-05-01T08:36:25,U0149,Legal,director,vpn_gateway,10.10.4.244,crm,saas,confidential,login,success,67493,366,52,0,normal
EVT0000096,2026-05-01T08:11:12,U0012,Data Science,manager,vpn_gateway,10.10.5.234,git_repo,code,internal,query,success,17628,25,89,4,normal
EVT0000097,2026-05-01T08:32:20,U0063,Legal,analyst,server,10.10.9.89,public_web,web,public,logout,success,68965,133,92,5,normal
EVT0000098,2026-05-01T08:39:12,U0037,Operations,analyst,mobile,10.10.19.252,bi_dashboard,dashboard,internal,upload,failed,70159,42,21,5,normal
EVT0000099,2026-05-01T08:34:39,U0144,Engineering,intern,laptop,10.10.16.31,payroll,database,confidential,read,success,119233,171,158,6,normal
EVT0000100,2026-05-01T08:40:00,U0108,HR,analyst,mobile,10.10.16.116,data_lake,storage,restricted,schema_discovery,success,125242,75,12,72,policy_violation
EVT0000101,2026-05-01T08:33:40,U0132,Engineering,manager,server,10.10.16.72,ticketing,saas,internal,read,success,58281,98,120,3,normal
EVT0000102,2026-05-01T08:39:06,U0091,Engineering,engineer,workstation,10.10.2.40,cust_db,database,restricted,login,success,1307,1,64,45,normal
EVT0000103,2026-05-01T08:13:44,U0111,HR,admin,laptop,10.10.9.203,crm,saas,confidential,upload,success,46215,36,157,33,normal
EVT0000104,2026-05-01T08:19:04,U0093,Engineering,manager,vpn_gateway,10.10.5.209,git_repo,code,internal,login,success,19874,13,139,1,normal
EVT0000105,2026-05-01T08:15:45,U0025,Operations,analyst,vpn_gateway,10.10.4.215,public_web,web,public,read,success,35413,31,103,6,normal
EVT0000106,2026-05-01T08:37:06,U0011,Operations,engineer,vpn_gateway,10.10.15.20,cust_db,database,restricted,login,success,51762,26,169,33,normal
EVT0000107,2026-05-01T08:16:03,U0084,Sales,intern,vpn_gateway,10.10.20.247,bi_dashboard,dashboard,internal,login,success,77172,64,77,7,normal
EVT0000108,2026-05-01T08:41:24,U0077,Engineering,analyst,workstation,10.10.1.183,ticketing,saas,internal,download,success,68229,39,141,0,normal
EVT0000109,2026-05-01T08:43:36,U0122,Engineering,intern,server,10.10.9.213,git_repo,code,internal,schema_discovery,success,48350,107,102,8,normal
EVT0000110,2026-05-01T08:45:50,U0098,Data Science,engineer,laptop,10.10.15.71,crm,saas,confidential,download,success,199279,198,143,5,normal
EVT0000111,2026-05-01T08:33:18,U0039,Sales,manager,laptop,10.10.5.165,public_web,web,public,query,success,11251,7,119,2,normal
EVT0000112,2026-05-01T08:39:12,U0054,Operations,manager,vpn_gateway,10.10.16.20,bi_dashboard,dashboard,internal,schema_discovery,success,37165,46,113,8,normal
EVT0000113,2026-05-01T08:30:08,U0068,Finance,analyst,workstation,10.10.15.71,ticketing,saas,internal,login,success,72369,43,161,4,normal
EVT0000114,2026-05-01T08:20:54,U0126,Data Science,intern,laptop,10.10.20.59,bi_dashboard,dashboard,internal,read,success,161453,126,83,8,normal
EVT0000115,2026-05-01T08:32:35,U0102,HR,intern,workstation,10.10.8.178,bi_dashboard,dashboard,internal,schema_discovery,success,69645,34,159,7,normal
EVT0000116,2026-05-01T08:48:20,U0066,Data Science,engineer,laptop,10.10.18.197,ticketing,saas,internal,login,success,71494,52,183,3,normal
EVT0000117,2026-05-01T08:23:24,U0013,Operations,analyst,mobile,10.10.11.48,data_lake,storage,restricted,query,success,116188,1056,146,8,normal
EVT0000118,2026-05-01T08:19:40,U0105,Data Science,manager,laptop,10.10.19.96,ticketing,saas,internal,read,success,81527,41,78,1,normal
EVT0000119,2026-05-01T08:49:35,U0147,Data Science,director,server,10.10.8.238,data_lake,storage,restricted,read,success,88126,46,108,27,normal
EVT0000120,2026-05-01T08:12:00,U0102,HR,intern,laptop,10.10.7.110,ticketing,saas,internal,login,success,190895,268,93,1,normal
EVT0000121,2026-05-01T08:30:15,U0073,Finance,admin,vpn_gateway,10.10.14.157,ticketing,saas,internal,schema_discovery,success,0,0,104,4,normal
EVT0000122,2026-05-01T08:22:22,U0029,Operations,engineer,workstation,10.10.2.66,bi_dashboard,dashboard,internal,login,success,32507,18,56,4,normal
EVT0000123,2026-05-01T08:47:09,U0050,Engineering,analyst,laptop,10.10.7.69,crm,saas,confidential,query,success,154735,168,63,26,normal
EVT0000124,2026-05-01T08:20:40,U0036,HR,intern,workstation,10.10.15.71,ticketing,saas,internal,read,success,129138,166,122,4,normal
EVT0000125,2026-05-01T08:47:55,U0147,Data Science,director,workstation,10.10.6.79,cust_db,database,restricted,logout,success,73698,172,103,31,normal
EVT0000126,2026-05-01T08:44:06,U0080,Data Science,manager,server,10.10.6.51,payroll,database,confidential,query,failed,56219,136,146,77,policy_violation
EVT0000127,2026-05-01T08:50:48,U0096,Finance,admin,mobile,10.10.3.104,public_web,web,public,query,success,84154,56,30,1,normal
EVT0000128,2026-05-01T08:44:48,U0115,Data Science,intern,mobile,10.10.17.99,bi_dashboard,dashboard,internal,login,success,151540,119,180,8,normal
EVT0000129,2026-05-01T08:19:21,U0043,Finance,admin,laptop,10.10.16.114,bi_dashboard,dashboard,internal,upload,success,105257,54,142,8,normal
EVT0000130,2026-05-01T08:41:10,U0015,Data Science,engineer,workstation,10.10.16.28,ticketing,saas,internal,login,success,63387,40,124,0,normal
EVT0000131,2026-05-01T08:37:07,U0066,Data Science,engineer,vpn_gateway,10.10.15.78,cust_db,database,restricted,download,success,127063,569,143,1,normal
EVT0000132,2026-05-01T08:44:00,U0009,Operations,analyst,server,10.10.5.234,git_repo,code,internal,read,success,127218,146,173,6,normal
EVT0000133,2026-05-01T08:42:07,U0097,Operations,intern,laptop,10.10.18.21,public_web,web,public,login,success,98835,212,101,8,normal
EVT0000134,2026-05-01T08:37:58,U0136,HR,analyst,server,10.10.14.192,crm,saas,confidential,query,failed,122680,82,47,33,normal
EVT0000135,2026-05-01T08:40:30,U0137,Data Science,analyst,laptop,10.10.15.71,public_web,web,public,download,success,51852,314,127,6,normal
EVT0000136,2026-05-01T08:54:24,U0005,Data Science,admin,laptop,10.10.9.144,data_lake,storage,restricted,login,success,34823,57,89,0,normal
EVT0000137,2026-05-01T08:38:49,U0113,Operations,analyst,workstation,10.10.4.141,data_lake,storage,restricted,read,success,91169,157,107,5,normal
EVT0000138,2026-05-01T08:52:54,U0083,Data Science,analyst,workstation,10.10.8.178,data_lake,storage,restricted,read,success,140441,626,114,8,normal
EVT0000139,2026-05-01T08:53:17,U0045,Data Science,director,vpn_gateway,10.10.11.48,public_web,web,public,query,success,197366,262,99,6,normal
EVT0000140,2026-05-01T08:42:00,U0039,Sales,manager,mobile,10.10.4.141,git_repo,code,internal,read,success,43920,25,111,7,normal
EVT0000141,2026-05-01T08:14:06,U0144,Engineering,intern,workstation,10.10.20.59,public_web,web,public,schema_discovery,success,31294,21,110,1,normal
EVT0000142,2026-05-01T08:44:58,U0095,Legal,analyst,laptop,10.10.8.80,payroll,database,confidential,read,success,126127,66,135,1,normal
EVT0000143,2026-05-01T08:26:13,U0144,Engineering,intern,mobile,10.10.10.253,data_lake,storage,restricted,read,success,44092,27,223,1,normal
EVT0000144,2026-05-01T08:48:00,U0063,Legal,analyst,vpn_gateway,10.10.12.181,data_lake,storage,restricted,read,success,0,0,92,5,normal
EVT0000145,2026-05-01T08:33:50,U0067,Finance,analyst,workstation,10.10.2.40,bi_dashboard,dashboard,internal,read,success,0,0,139,48,normal
EVT0000146,2026-05-01T08:38:56,U0081,HR,director,vpn_gateway,10.10.14.192,public_web,web,public,login,success,79503,61,110,6,normal
EVT0000147,2026-05-01T08:34:18,U0040,Data Science,admin,workstation,10.10.18.34,data_lake,storage,restricted,read,success,46002,73,104,7,normal
EVT0000148,2026-05-01T09:01:40,U0126,Data Science,intern,vpn_gateway,10.10.8.94,ticketing,saas,internal,login,success,118773,83,189,0,normal
EVT0000149,2026-05-01T08:52:09,U0009,Operations,analyst,mobile,10.10.6.2,payroll,database,confidential,schema_discovery,success,85397,357,121,2,normal
EVT0000150,2026-05-01T08:12:30,U0056,Sales,engineer,server,10.10.4.244,ticketing,saas,internal,read,success,4436,33,31,0,normal
EVT0000151,2026-05-01T08:55:22,U0142,Operations,admin,vpn_gateway,10.10.8.32,public_web,web,public,login,success,69232,39,59,6,normal
EVT0000152,2026-05-01T08:25:20,U0028,Finance,admin,workstation,10.10.12.181,payroll,database,confidential,read,success,101813,58,177,31,normal
EVT0000153,2026-05-01T08:17:51,U0096,Finance,admin,laptop,10.10.15.71,public_web,web,public,read,success,115709,80,117,0,normal
EVT0000154,2026-05-01T08:17:58,U0104,Legal,intern,server,10.10.3.104,public_web,web,public,read,success,86466,47,122,6,normal
EVT0000155,2026-05-01T09:04:35,U0085,Operations,manager,vpn_gateway,10.10.1.128,payroll,database,confidential,delete,success,93642,87,226,29,normal
EVT0000156,2026-05-01T08:15:36,U0020,Legal,admin,laptop,10.10.17.99,git_repo,code,internal,delete,success,62840,119,93,27,normal
EVT0000157,2026-05-01T08:44:29,U0020,Legal,admin,vpn_gateway,10.10.12.181,git_repo,code,internal,login,success,0,0,80,6,normal
EVT0000158,2026-05-01T08:23:42,U0021,Sales,admin,vpn_gateway,10.10.10.122,bi_dashboard,dashboard,internal,login,success,82225,62,139,6,normal
EVT0000159,2026-05-01T08:39:45,U0008,Sales,analyst,server,10.10.11.49,git_repo,code,internal,download,success,33190,69,122,6,normal
EVT0000160,2026-05-01T08:18:40,U0076,Operations,analyst,mobile,10.10.9.227,data_lake,storage,restricted,query,success,74491,46,168,31,normal
EVT0000161,2026-05-01T08:40:15,U0093,Engineering,manager,laptop,10.10.16.72,payroll,database,confidential,login,success,412,0,148,6,normal
EVT0000162,2026-05-01T08:51:18,U0143,Engineering,admin,workstation,10.10.20.181,public_web,web,public,login,success,66574,35,137,6,normal
EVT0000163,2026-05-01T08:13:35,U0075,Operations,engineer,mobile,10.10.9.227,public_web,web,public,read,failed,69921,55,56,8,normal
EVT0000164,2026-05-01T08:27:20,U0098,Data Science,engineer,workstation,10.10.7.191,crm,saas,confidential,login,success,76759,79,147,4,normal
EVT0000165,2026-05-01T08:55:00,U0020,Legal,admin,server,10.10.15.71,bi_dashboard,dashboard,internal,logout,success,69360,217,62,2,normal
EVT0000166,2026-05-01T08:38:44,U0002,HR,manager,server,10.10.4.244,public_web,web,public,read,success,7480,4,188,2,normal
EVT0000167,2026-05-01T08:38:58,U0083,Data Science,analyst,server,10.10.10.58,data_lake,storage,restricted,read,success,208376,162,90,13,normal
EVT0000168,2026-05-01T08:42:00,U0097,Operations,intern,vpn_gateway,10.10.2.143,git_repo,code,internal,download,success,3307,7,206,8,normal
EVT0000169,2026-05-01T08:14:05,U0119,HR,engineer,server,10.10.6.51,data_lake,storage,restricted,read,success,89252,60,103,7,normal
EVT0000170,2026-05-01T08:25:30,U0078,Data Science,engineer,vpn_gateway,10.10.16.167,data_lake,storage,restricted,logout,success,60885,56,33,31,normal
EVT0000171,2026-05-01T09:02:42,U0130,Data Science,analyst,laptop,10.10.6.79,public_web,web,public,read,success,52632,162,32,3,normal
EVT0000172,2026-05-01T08:45:52,U0043,Finance,admin,server,10.10.3.42,cust_db,database,restricted,query,success,57772,182,74,25,normal
EVT0000173,2026-05-01T08:23:04,U0067,Finance,analyst,workstation,10.10.10.23,data_lake,storage,restricted,read,success,8729,9,92,52,normal
EVT0000174,2026-05-01T09:06:42,U0129,Legal,intern,laptop,10.10.20.173,crm,saas,confidential,read,success,38401,113,124,27,normal
EVT0000175,2026-05-01T08:46:40,U0080,Data Science,manager,server,10.10.16.143,bi_dashboard,dashboard,internal,read,success,34137,45,113,46,normal
EVT0000176,2026-05-01T08:41:04,U0012,Data Science,manager,mobile,10.10.4.215,payroll,database,confidential,login,success,35035,30,59,2,normal
EVT0000177,2026-05-01T09:04:54,U0041,Sales,analyst,server,10.10.16.31,bi_dashboard,dashboard,internal,query,success,85796,94,170,0,normal
EVT0000178,2026-05-01T09:11:12,U0051,Sales,manager,laptop,10.10.9.13,ticketing,saas,internal,query,success,114757,89,120,1,normal
EVT0000179,2026-05-01T09:05:38,U0048,Sales,engineer,workstation,10.10.2.66,bi_dashboard,dashboard,internal,read,success,136224,103,168,6,normal
EVT0000180,2026-05-01T09:12:00,U0101,Sales,admin,workstation,10.10.2.66,payroll,database,confidential,read,success,12146,6,58,1,normal
EVT0000181,2026-05-01T08:27:09,U0081,HR,director,server,10.10.7.23,payroll,database,confidential,logout,success,111400,84,190,27,normal
EVT0000182,2026-05-01T09:09:46,U0099,Data Science,engineer,mobile,10.10.7.69,public_web,web,public,login,success,0,0,93,2,normal
EVT0000183,2026-05-01T09:01:00,U0074,HR,admin,server,10.10.11.49,crm,saas,confidential,login,failed,6733,17,51,3,normal
EVT0000184,2026-05-01T08:52:08,U0144,Engineering,intern,laptop,10.10.19.163,ticketing,saas,internal,read,success,0,0,168,0,normal
EVT0000185,2026-05-01T08:37:00,U0075,Operations,engineer,server,10.10.18.197,cust_db,database,restricted,logout,success,59043,48,204,8,normal
EVT0000186,2026-05-01T08:24:48,U0147,Data Science,director,laptop,10.10.14.157,payroll,database,confidential,logout,success,101242,61,77,32,normal
EVT0000187,2026-05-01T09:08:34,U0056,Sales,engineer,server,10.10.8.46,public_web,web,public,login,failed,80355,125,77,5,normal
EVT0000188,2026-05-01T08:21:56,U0113,Operations,analyst,vpn_gateway,10.10.12.181,payroll,database,confidential,download,success,100401,71,199,6,normal
EVT0000189,2026-05-01T08:31:30,U0036,HR,intern,mobile,10.10.16.56,data_lake,storage,restricted,download,success,24239,31,93,29,normal
EVT0000190,2026-05-01T08:44:20,U0147,Data Science,director,server,10.10.19.244,git_repo,code,internal,schema_discovery,success,155093,78,113,0,normal
EVT0000191,2026-05-01T08:41:23,U0033,HR,manager,server,10.10.15.20,crm,saas,confidential,logout,success,63495,57,153,2,normal
EVT0000192,2026-05-01T09:13:36,U0069,Engineering,analyst,vpn_gateway,10.10.9.89,public_web,web,public,read,success,11229,6,43,4,normal
EVT0000193,2026-05-01T08:51:28,U0117,HR,admin,server,10.10.3.73,ticketing,saas,internal,read,success,145854,104,48,5,normal
EVT0000194,2026-05-01T08:22:38,U0137,Data Science,analyst,workstation,10.10.1.148,public_web,web,public,login,success,106473,134,67,8,normal
