user_id,employee_id,dept,role,clearance,location,status
U0118,E00118,HR,engineer,restricted,Jakarta,active
U0119,E00119,HR,engineer,confidential,Bandung,active
U0120,E00120,Finance,manager,internal,Jakarta,active
U0121,E00121,HR,admin,internal,Jakarta,active
U0122,E00122,Engineering,intern,restricted,Bandung,active
U0123,E00123,Operations,director,restricted,Surabaya,active
U0124,E00124,Finance,intern,restricted,Bandung,active
U0125,E00125,Engineering,engineer,restricted,Bandung,active
U0126,E00126,Data Science,intern,internal,Bandung,active
U0127,E00127,Sales,director,public,Bandung,active
U0128,E00128,Data Science,director,internal,Bandung,active
U0129,E00129,Legal,intern,public,Bandung,active
U0130,E00130,Data Science,analyst,public,Surabaya,active
U0131,E00131,Operations,director,internal,Jakarta,active
U0132,E00132,Engineering,manager,restricted,Bandung,active
U0133,E00133,Sales,engineer,restricted,Bandung,active
U0134,E00134,Sales,analyst,public,Bandung,active
U0135,E00135,Finance,admin,public,Jakarta,active
U0136,E00136,HR,analyst,internal,Jakarta,active
U0137,E00137,Data Science,analyst,internal,Bandung,active
U0138,E00138,Operations,engineer,internal,Surabaya,active
U0139,E00139,Data Science,admin,public,Jakarta,terminated
U0140,E00140,Finance,intern,public,Bandung,active
U0141,E00141,Sales,director,internal,Jakarta,active
U0142,E00142,Operations,admin,internal,Jakarta,active
U0143,E00143,Engineering,admin,public,Surabaya,active
U0144,E00144,Engineering,intern,restricted,Surabaya,active
U0145,E00145,Legal,admin,confidential,Jakarta,active
U0146,E00146,Operations,director,public,Bandung,terminated
U0147,E00147,Data Science,director,internal,Bandung,active
U0148,E00148,Legal,admin,confidential,Surabaya,active
U0149,E00149,Legal,director,restricted,Bandung,active
U0150,E00150,Legal,engineer,confidential,Jakarta,active
